Landowners|Budget|Expected Damage|Run Time|Allocation|Levels|Allocation Method|Total Budget Used|Remaining Budget|Maximum Amount Offered|Level Amounts|Area of Each Landowner
4|40000|88.3454689273|173.674125759|[0, 5, 6, 5]|10|Risk-based|38213.1377852|1786.86221485|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[543.1415, 539.682, 539.682, 539.682]
4|40000|85.2317231845|172.400875237|[0, 8, 10, 8]|15|Risk-based|39919.0814363|80.9185637236|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[543.1415, 539.682, 539.682, 539.682]
4|40000|85.8611755477|174.274469653|[0, 12, 13, 10]|20|Risk-based|39595.8500076|404.149992357|39.8288066012|[0.0, 2.0962529790105262, 4.1925059580210524, 6.2887589370315791, 8.3850119160421048, 10.481264895052631, 12.577517874063156, 14.673770853073682, 16.77002383208421, 18.866276811094735, 20.962529790105261, 23.058782769115787, 25.155035748126313, 27.251288727136838, 29.347541706147364, 31.44379468515789, 33.540047664168419, 35.636300643178949, 37.732553622189478, 39.828806601200007]|[543.1415, 539.682, 539.682, 539.682]
4|40000|85.3624704283|685.991941677|[0, 30, 35, 26]|50|Risk-based|39919.0814363|80.9185637236|39.8288066012|[0.0, 0.81283278777959189, 1.6256655755591838, 2.4384983633387756, 3.2513311511183676, 4.0641639388979591, 4.8769967266775511, 5.6898295144571431, 6.5026623022367351, 7.3154950900163271, 8.1283278777959183, 8.9411606655755094, 9.7539934533551005, 10.566826241134692, 11.379659028914283, 12.192491816693874, 13.005324604473465, 13.818157392253056, 14.630990180032647, 15.443822967812238, 16.256655755591829, 17.069488543371421, 17.882321331151012, 18.695154118930603, 19.507986906710194, 20.320819694489785, 21.133652482269376, 21.946485270048967, 22.759318057828558, 23.572150845608149, 24.384983633387741, 25.197816421167332, 26.010649208946923, 26.823481996726514, 27.636314784506105, 28.449147572285696, 29.261980360065287, 30.074813147844878, 30.887645935624469, 31.700478723404061, 32.513311511183652, 33.326144298963243, 34.138977086742834, 34.951809874522425, 35.764642662302016, 36.577475450081607, 37.390308237861198, 38.20314102564079, 39.015973813420381, 39.828806601199972]|[543.1415, 539.682, 539.682, 539.682]
4|60000|88.644194216|171.183123887|[0, 1, 1, 0]|2|Risk-based|42989.7800083|17010.2199917|39.8288066012|[0.0, 39.8288066012]|[543.1415, 539.682, 539.682, 539.682]
4|60000|54.6359891519|173.345154198|[2, 3, 3, 3]|5|Risk-based|59179.8413896|820.158610372|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[543.1415, 539.682, 539.682, 539.682]
4|60000|53.7107613086|173.658560937|[5, 7, 7, 6]|10|Risk-based|59784.5765429|215.423457122|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[543.1415, 539.682, 539.682, 539.682]
4|60000|53.4397344931|173.156090533|[8, 10, 11, 10]|15|Risk-based|59957.3580152|42.6419847644|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[543.1415, 539.682, 539.682, 539.682]
4|60000|54.7372495161|174.313972215|[10, 14, 15, 13]|20|Risk-based|58900.6398832|1099.36011684|39.8288066012|[0.0, 2.0962529790105262, 4.1925059580210524, 6.2887589370315791, 8.3850119160421048, 10.481264895052631, 12.577517874063156, 14.673770853073682, 16.77002383208421, 18.866276811094735, 20.962529790105261, 23.058782769115787, 25.155035748126313, 27.251288727136838, 29.347541706147364, 31.44379468515789, 33.540047664168419, 35.636300643178949, 37.732553622189478, 39.828806601200007]|[543.1415, 539.682, 539.682, 539.682]
4|60000|53.3934795126|206.069830357|[27, 35, 40, 34]|50|Risk-based|59735.2104079|264.789592081|39.8288066012|[0.0, 0.81283278777959189, 1.6256655755591838, 2.4384983633387756, 3.2513311511183676, 4.0641639388979591, 4.8769967266775511, 5.6898295144571431, 6.5026623022367351, 7.3154950900163271, 8.1283278777959183, 8.9411606655755094, 9.7539934533551005, 10.566826241134692, 11.379659028914283, 12.192491816693874, 13.005324604473465, 13.818157392253056, 14.630990180032647, 15.443822967812238, 16.256655755591829, 17.069488543371421, 17.882321331151012, 18.695154118930603, 19.507986906710194, 20.320819694489785, 21.133652482269376, 21.946485270048967, 22.759318057828558, 23.572150845608149, 24.384983633387741, 25.197816421167332, 26.010649208946923, 26.823481996726514, 27.636314784506105, 28.449147572285696, 29.261980360065287, 30.074813147844878, 30.887645935624469, 31.700478723404061, 32.513311511183652, 33.326144298963243, 34.138977086742834, 34.951809874522425, 35.764642662302016, 36.577475450081607, 37.390308237861198, 38.20314102564079, 39.015973813420381, 39.828806601199972]|[543.1415, 539.682, 539.682, 539.682]
