Landowners | Budget | Expected Damage | Run Time | Allocation | Levels | Total Budget Used | Remaining Budget | Maximum Amount Offered | Level Amounts | Area of Each Landowner
3|14000|143.559205224|94.1527269714|[0, 7, 0]|10|13931.8731508|68.1268491628|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
3|15000|142.171977697|101.892433711|[0, 7, 1]|10|14972.9361995|27.0638005288|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
3|16000|141.19366759|106.610872153|[1, 6, 1]|10|15501.1225991|498.877400854|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
3|17000|138.360109036|95.9707206908|[1, 7, 0]|10|16603.4246506|396.575349359|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
3|18000|136.010239194|91.901108062|[2, 5, 0]|10|17659.79745|340.20255001|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
3|20000|138.051011176|89.7511526711|[0, 1, 1]|2|19014.7103883|985.289611715|39.8288066012|[0.0, 19.9144033006]|[1207.3654999999999, 484.33, 470.49199999999996]
3|20000|135.743674075|90.560429844|[0, 2, 1]|3|19152.4981447|847.501855278|39.8288066012|[0.0, 9.9572016503, 29.8716049509]|[1207.3654999999999, 484.33, 470.49199999999996]
3|20000|135.72038364|97.7906405654|[0, 3, 1]|4|19198.4273969|801.572603132|39.8288066012|[0.0, 6.6381344335333337, 19.9144033006, 33.190672167666669]|[1207.3654999999999, 484.33, 470.49199999999996]
3|20000|134.983150066|106.248966312|[1, 3, 0]|5|18067.4195628|1932.58043722|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
3|20000|134.71267826|100.761711743|[1, 4, 0]|6|18311.9928305|1688.00716954|39.8288066012|[0.0, 3.9828806601200002, 11.948641980360001, 19.9144033006, 27.880164620840002, 35.845925941079997]|[1207.3654999999999, 484.33, 470.49199999999996]
3|20000|133.972460203|99.452584534|[1, 4, 2]|7|19944.7777442|55.2222557658|39.8288066012|[0.0, 3.3190672167666668, 9.9572016503, 16.595336083833335, 23.233470517366669, 29.8716049509, 36.509739384433331]|[1207.3654999999999, 484.33, 470.49199999999996]
3|20000|130.712873099|95.1058165176|[2, 4, 0]|8|19949.6987355|50.3012644644|39.8288066012|[0.0, 2.8449147572285716, 8.5347442716857138, 14.224573786142857, 19.9144033006, 25.604232815057145, 31.29406232951429, 36.983891843971435]|[1207.3654999999999, 484.33, 470.49199999999996]
3|20000|130.868570865|91.0769298902|[2, 5, 0]|9|19867.2721312|132.727868761|39.8288066012|[0.0, 2.489300412575, 7.467901237725, 12.446502062875, 17.425102888025002, 22.403703713174998, 27.382304538325002, 32.360905363474998, 37.339506188625002]|[1207.3654999999999, 484.33, 470.49199999999996]
3|20000|131.090447586|90.7147704979|[2, 6, 0]|10|19803.1625501|196.837449881|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
3|21000|138.051011176|103.249243432|[0, 1, 1]|2|19014.7103883|1985.28961171|39.8288066012|[0.0, 19.9144033006]|[1207.3654999999999, 484.33, 470.49199999999996]
3|21000|135.743674075|99.9403572302|[0, 2, 1]|3|19152.4981447|1847.50185528|39.8288066012|[0.0, 9.9572016503, 29.8716049509]|[1207.3654999999999, 484.33, 470.49199999999996]
3|21000|131.402604987|95.8001899926|[1, 2, 1]|4|20782.9865959|217.013404108|39.8288066012|[0.0, 6.6381344335333337, 19.9144033006, 33.190672167666669]|[1207.3654999999999, 484.33, 470.49199999999996]
3|21000|130.651029902|93.549963906|[2, 1, 0]|5|20444.2583613|555.741638682|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
3|21000|130.798522464|97.1102439759|[2, 2, 0]|6|20213.4638693|786.536130714|39.8288066012|[0.0, 3.9828806601200002, 11.948641980360001, 19.9144033006, 27.880164620840002, 35.845925941079997]|[1207.3654999999999, 484.33, 470.49199999999996]
3|21000|130.682460029|98.4057637926|[2, 3, 0]|7|20059.6008746|940.399125402|39.8288066012|[0.0, 3.3190672167666668, 9.9572016503, 16.595336083833335, 23.233470517366669, 29.8716049509, 36.509739384433331]|[1207.3654999999999, 484.33, 470.49199999999996]
3|21000|130.712873099|93.9565020381|[2, 4, 0]|8|19949.6987355|1050.30126446|39.8288066012|[0.0, 2.8449147572285716, 8.5347442716857138, 14.224573786142857, 19.9144033006, 25.604232815057145, 31.29406232951429, 36.983891843971435]|[1207.3654999999999, 484.33, 470.49199999999996]
3|21000|130.868570865|107.255854398|[2, 5, 0]|9|19867.2721312|1132.72786876|39.8288066012|[0.0, 2.489300412575, 7.467901237725, 12.446502062875, 17.425102888025002, 22.403703713174998, 27.382304538325002, 32.360905363474998, 37.339506188625002]|[1207.3654999999999, 484.33, 470.49199999999996]
3|21000|128.86710422|105.010318065|[3, 4, 0]|10|20859.5353495|140.464650532|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
3|22000|138.051011176|102.099379654|[0, 1, 1]|2|19014.7103883|2985.28961171|39.8288066012|[0.0, 19.9144033006]|[1207.3654999999999, 484.33, 470.49199999999996]
3|22000|131.647112227|102.092462677|[1, 1, 1]|3|21529.3369433|470.663056742|39.8288066012|[0.0, 9.9572016503, 29.8716049509]|[1207.3654999999999, 484.33, 470.49199999999996]
3|22000|131.402604987|104.938347445|[1, 2, 1]|4|20782.9865959|1217.01340411|39.8288066012|[0.0, 6.6381344335333337, 19.9144033006, 33.190672167666669]|[1207.3654999999999, 484.33, 470.49199999999996]
3|22000|130.651029902|116.093143503|[2, 1, 0]|5|20444.2583613|1555.74163868|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
3|22000|130.798522464|118.074732697|[2, 2, 0]|6|20213.4638693|1786.53613071|39.8288066012|[0.0, 3.9828806601200002, 11.948641980360001, 19.9144033006, 27.880164620840002, 35.845925941079997]|[1207.3654999999999, 484.33, 470.49199999999996]
3|22000|127.714688381|97.7481435048|[3, 1, 0]|7|21644.1600736|355.839926378|39.8288066012|[0.0, 3.3190672167666668, 9.9572016503, 16.595336083833335, 23.233470517366669, 29.8716049509, 36.509739384433331]|[1207.3654999999999, 484.33, 470.49199999999996]
3|22000|128.441612977|92.4794332458|[3, 2, 0]|8|21307.8923347|692.107665301|39.8288066012|[0.0, 2.8449147572285716, 8.5347442716857138, 14.224573786142857, 19.9144033006, 25.604232815057145, 31.29406232951429, 36.983891843971435]|[1207.3654999999999, 484.33, 470.49199999999996]
3|22000|128.702813588|91.2396700561|[3, 3, 0]|9|21055.6915305|944.308469494|39.8288066012|[0.0, 2.489300412575, 7.467901237725, 12.446502062875, 17.425102888025002, 22.403703713174998, 27.382304538325002, 32.360905363474998, 37.339506188625002]|[1207.3654999999999, 484.33, 470.49199999999996]
3|22000|126.917890221|90.7559176912|[2, 7, 0]|10|21946.5276502|53.4723497526|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
3|23000|138.051011176|90.743595163|[0, 1, 1]|2|19014.7103883|3985.28961171|39.8288066012|[0.0, 19.9144033006]|[1207.3654999999999, 484.33, 470.49199999999996]
3|23000|131.647112227|87.9745813644|[1, 1, 1]|3|21529.3369433|1470.66305674|39.8288066012|[0.0, 9.9572016503, 29.8716049509]|[1207.3654999999999, 484.33, 470.49199999999996]
3|23000|131.402604987|89.9199316969|[1, 2, 1]|4|20782.9865959|2217.01340411|39.8288066012|[0.0, 6.6381344335333337, 19.9144033006, 33.190672167666669]|[1207.3654999999999, 484.33, 470.49199999999996]
