Landowners|Budget|Expected Damage|Run Time|Allocation|Levels|Total Budget Used|Remaining Budget|Maximum Amount Offered|Level Amounts|Area of Each Landowner
3|120000|83.9777313101|58.8892422958|[1, 1, 1]|2|43058.6738865|76941.3261135|39.8288066012|[0.0, 19.9144033006]|[1207.3654999999999, 484.33, 470.49199999999996]
3|120000|35.2241721959|58.0918705662|[4, 4, 4]|5|75352.6793014|44647.3206986|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
3|120000|29.7419924053|58.207114819|[9, 9, 9]|10|81333.0506745|38666.9493255|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
3|120000|28.3464473318|56.6386870595|[14, 14, 14]|15|83041.7282097|36958.2717903|39.8288066012|[0.0, 1.4224573786142858, 4.2673721358428569, 7.1122868930714285, 9.9572016503, 12.802116407528572, 15.647031164757145, 18.491945921985717, 21.33686067921429, 24.181775436442862, 27.026690193671435, 29.871604950900007, 32.71651970812858, 35.561434465357152, 38.406349222585717]|[1207.3654999999999, 484.33, 470.49199999999996]
3|140000|83.9777313101|56.1786782986|[1, 1, 1]|2|43058.6738865|96941.3261135|39.8288066012|[0.0, 19.9144033006]|[1207.3654999999999, 484.33, 470.49199999999996]
3|140000|35.2241721959|56.7049908693|[4, 4, 4]|5|75352.6793014|64647.3206986|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
3|140000|29.7419924053|55.7211089367|[9, 9, 9]|10|81333.0506745|58666.9493255|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
3|140000|28.3464473318|55.9779117197|[14, 14, 14]|15|83041.7282097|56958.2717903|39.8288066012|[0.0, 1.4224573786142858, 4.2673721358428569, 7.1122868930714285, 9.9572016503, 12.802116407528572, 15.647031164757145, 18.491945921985717, 21.33686067921429, 24.181775436442862, 27.026690193671435, 29.871604950900007, 32.71651970812858, 35.561434465357152, 38.406349222585717]|[1207.3654999999999, 484.33, 470.49199999999996]
4|20000|136.543680847|118.074558115|[0, 1, 1, 0]|2|19014.7103883|985.289611715|39.8288066012|[0.0, 19.9144033006]|[615.7909999999999, 484.33, 470.49199999999996, 591.5745]
4|20000|128.459629245|123.476649069|[2, 2, 0, 1]|5|19376.4032489|623.596751068|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[615.7909999999999, 484.33, 470.49199999999996, 591.5745]
4|20000|125.237956286|117.634281009|[5, 4, 0, 0]|10|19764.8881733|235.111826669|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[615.7909999999999, 484.33, 470.49199999999996, 591.5745]
4|20000|125.304970636|117.765410653|[6, 8, 0, 0]|15|19969.3827007|30.6172992592|39.8288066012|[0.0, 1.4224573786142858, 4.2673721358428569, 7.1122868930714285, 9.9572016503, 12.802116407528572, 15.647031164757145, 18.491945921985717, 21.33686067921429, 24.181775436442862, 27.026690193671435, 29.871604950900007, 32.71651970812858, 35.561434465357152, 38.406349222585717]|[615.7909999999999, 484.33, 470.49199999999996, 591.5745]
4|40000|96.4251031162|115.334094982|[1, 1, 0, 1]|2|33689.1064488|6310.89355119|39.8288066012|[0.0, 19.9144033006]|[615.7909999999999, 484.33, 470.49199999999996, 591.5745]
4|40000|86.7975482662|114.72442215|[3, 2, 1, 3]|5|39631.2034451|368.796554851|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[615.7909999999999, 484.33, 470.49199999999996, 591.5745]
