Started 11/28/17 23:46:38 in McCain 321
Landscape|Landowners|Budget|Expected Damage|Total Run Time|Second Stage Time|Create Model Time|Optimize Time|Allocation|Levels|Allocation Method|Total Budget Used|Remaining Budget|Maximum Amount Offered|Level Amounts|Area of Each Landowner|Time Completed
Umpqua|6|20000|339.016256761|1451.63670792|740.460137506|711.176568705|710.986767352|[0, 11, 0, 0, 10, 7]|20|Risk-based|19993.7286577|6.27134229478|39.8288066012|[0.0, 2.0962529790105262, 4.1925059580210524, 6.2887589370315791, 8.3850119160421048, 10.481264895052631, 12.577517874063156, 14.673770853073682, 16.77002383208421, 18.866276811094735, 20.962529790105261, 23.058782769115787, 25.155035748126313, 27.251288727136838, 29.347541706147364, 31.44379468515789, 33.540047664168419, 35.636300643178949, 37.732553622189478, 39.828806601200007]|[404.76149999999996, 356.32849999999996, 349.4095, 373.626, 290.59799999999996, 387.464]|12/02/17 22:02:06
Umpqua|6|20000|338.574665898|1639.92780938|743.292374353|896.635433321|896.44565956|[0, 11, 0, 0, 10, 7]|20|Risk-based|19993.7286577|6.27134229478|39.8288066012|[0.0, 2.0962529790105262, 4.1925059580210524, 6.2887589370315791, 8.3850119160421048, 10.481264895052631, 12.577517874063156, 14.673770853073682, 16.77002383208421, 18.866276811094735, 20.962529790105261, 23.058782769115787, 25.155035748126313, 27.251288727136838, 29.347541706147364, 31.44379468515789, 33.540047664168419, 35.636300643178949, 37.732553622189478, 39.828806601200007]|[404.76149999999996, 356.32849999999996, 349.4095, 373.626, 290.59799999999996, 387.464]|12/02/17 22:29:26
Umpqua|6|20000|338.597462862|2148.74445326|739.691602882|1409.05284867|1408.86256206|[0, 11, 0, 0, 10, 7]|20|Risk-based|19993.7286577|6.27134229478|39.8288066012|[0.0, 2.0962529790105262, 4.1925059580210524, 6.2887589370315791, 8.3850119160421048, 10.481264895052631, 12.577517874063156, 14.673770853073682, 16.77002383208421, 18.866276811094735, 20.962529790105261, 23.058782769115787, 25.155035748126313, 27.251288727136838, 29.347541706147364, 31.44379468515789, 33.540047664168419, 35.636300643178949, 37.732553622189478, 39.828806601200007]|[404.76149999999996, 356.32849999999996, 349.4095, 373.626, 290.59799999999996, 387.464]|12/02/17 23:05:15
Umpqua|6|20000|338.409041115|1598.4933595|740.08931902|858.404039057|858.214308246|[0, 11, 0, 0, 10, 7]|20|Risk-based|19993.7286577|6.27134229478|39.8288066012|[0.0, 2.0962529790105262, 4.1925059580210524, 6.2887589370315791, 8.3850119160421048, 10.481264895052631, 12.577517874063156, 14.673770853073682, 16.77002383208421, 18.866276811094735, 20.962529790105261, 23.058782769115787, 25.155035748126313, 27.251288727136838, 29.347541706147364, 31.44379468515789, 33.540047664168419, 35.636300643178949, 37.732553622189478, 39.828806601200007]|[404.76149999999996, 356.32849999999996, 349.4095, 373.626, 290.59799999999996, 387.464]|12/02/17 23:31:54
Umpqua|6|40000|252.14702306|739.491329417|739.369169846|0.122158433936|0.100224057016|[0, 1, 1, 0, 1, 0]|2|Risk-based|39682.8738538|317.126146187|39.8288066012|[0.0, 39.8288066012]|[404.76149999999996, 356.32849999999996, 349.4095, 373.626, 290.59799999999996, 387.464]|12/02/17 23:44:14
Umpqua|6|40000|251.838833623|740.617454431|740.506550902|0.110902391978|0.088755819379|[0, 1, 1, 0, 1, 0]|2|Risk-based|39682.8738538|317.126146187|39.8288066012|[0.0, 39.8288066012]|[404.76149999999996, 356.32849999999996, 349.4095, 373.626, 290.59799999999996, 387.464]|12/02/17 23:56:34
Umpqua|6|40000|251.759874485|741.231276505|741.106041803|0.12523328013|0.103702814551|[0, 1, 1, 0, 1, 0]|2|Risk-based|39682.8738538|317.126146187|39.8288066012|[0.0, 39.8288066012]|[404.76149999999996, 356.32849999999996, 349.4095, 373.626, 290.59799999999996, 387.464]|12/03/17 00:08:56
Umpqua|6|40000|251.586180275|739.055829365|738.943140945|0.11268699744|0.0909164606128|[0, 1, 1, 0, 1, 0]|2|Risk-based|39682.8738538|317.126146187|39.8288066012|[0.0, 39.8288066012]|[404.76149999999996, 356.32849999999996, 349.4095, 373.626, 290.59799999999996, 387.464]|12/03/17 00:21:15
Umpqua|6|40000|252.535320889|743.227446458|743.080272828|0.14717220817|0.125360995757|[0, 1, 1, 0, 1, 0]|2|Risk-based|39682.8738538|317.126146187|39.8288066012|[0.0, 39.8288066012]|[404.76149999999996, 356.32849999999996, 349.4095, 373.626, 290.59799999999996, 387.464]|12/03/17 00:33:38
Umpqua|6|40000|224.895581288|742.799971157|738.672406|4.12756373479|4.08281348711|[2, 3, 0, 2, 2, 2]|5|Risk-based|39648.4269147|351.573085296|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[404.76149999999996, 356.32849999999996, 349.4095, 373.626, 290.59799999999996, 387.464]|12/03/17 00:46:01
