Landowners|Budget|Expected Damage|Run Time|Allocation|Levels|Total Budget Used|Remaining Budget|Maximum Amount Offered|Level Amounts|Area of Each Landowner
6|40000|81.3668974857|688.970729487|[0, 4, 3, 6, 7, 7]|10|39989.0688681|10.9311318827|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[332.11199999999997, 480.8705, 477.41099999999994, 422.05899999999997, 276.76, 172.975]
6|40000|80.9425266025|1519.97190737|[0, 8, 6, 7, 9, 11]|15|39997.8172971|2.18270290256|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[332.11199999999997, 480.8705, 477.41099999999994, 422.05899999999997, 276.76, 172.975]
6|60000|65.7624501178|452.068976454|[0, 1, 1, 0, 1, 1]|2|56079.6168698|3920.3831302|39.8288066012|[0.0, 39.8288066012]|[332.11199999999997, 480.8705, 477.41099999999994, 422.05899999999997, 276.76, 172.975]
6|60000|50.7244374619|453.341501641|[1, 3, 3, 3, 3, 4]|5|59696.5454763|303.454523734|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[332.11199999999997, 480.8705, 477.41099999999994, 422.05899999999997, 276.76, 172.975]
6|60000|49.4688372975|616.87110467|[5, 6, 6, 6, 8, 8]|10|59922.3642993|77.6357006849|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[332.11199999999997, 480.8705, 477.41099999999994, 422.05899999999997, 276.76, 172.975]
6|60000|49.475050396|1263.72734596|[7, 10, 9, 10, 12, 12]|15|59878.6221544|121.377845585|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[332.11199999999997, 480.8705, 477.41099999999994, 422.05899999999997, 276.76, 172.975]
6|80000|37.6319601542|453.035487055|[1, 1, 1, 1, 1, 0]|2|79227.9599512|772.04004881|39.8288066012|[0.0, 39.8288066012]|[332.11199999999997, 480.8705, 477.41099999999994, 422.05899999999997, 276.76, 172.975]
6|80000|30.0412405177|451.596877649|[3, 4, 4, 3, 4, 4]|5|78607.9150472|1392.08495278|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[332.11199999999997, 480.8705, 477.41099999999994, 422.05899999999997, 276.76, 172.975]
6|80000|28.5379861129|466.309742521|[8, 9, 8, 8, 9, 8]|10|79901.5889827|98.4110173414|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[332.11199999999997, 480.8705, 477.41099999999994, 422.05899999999997, 276.76, 172.975]
6|80000|28.3800650418|480.561836319|[13, 13, 12, 13, 14, 14]|15|79887.3727856|112.627214434|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[332.11199999999997, 480.8705, 477.41099999999994, 422.05899999999997, 276.76, 172.975]
6|100000|24.0112650725|452.209049328|[1, 1, 1, 1, 1, 1]|2|86117.347773|13882.652227|39.8288066012|[0.0, 39.8288066012]|[332.11199999999997, 480.8705, 477.41099999999994, 422.05899999999997, 276.76, 172.975]
6|100000|24.0112650725|451.558435212|[4, 4, 4, 4, 4, 4]|5|86117.347773|13882.652227|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[332.11199999999997, 480.8705, 477.41099999999994, 422.05899999999997, 276.76, 172.975]
6|100000|24.0112650724|458.470862892|[9, 9, 9, 9, 9, 9]|10|86117.347773|13882.652227|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[332.11199999999997, 480.8705, 477.41099999999994, 422.05899999999997, 276.76, 172.975]
6|100000|24.0112650725|466.899899875|[14, 14, 14, 14, 14, 14]|15|86117.347773|13882.652227|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[332.11199999999997, 480.8705, 477.41099999999994, 422.05899999999997, 276.76, 172.975]
6|20000|174.513535294|452.809553365|[0, 0, 0, 0, 0, 0]|2|0.0|20000.0|39.8288066012|[0.0, 39.8288066012]|[332.11199999999997, 480.8705, 477.41099999999994, 422.05899999999997, 276.76, 172.975]
6|20000|174.513535294|451.983933417|[0, 0, 0, 0, 0, 0]|5|0.0|20000.0|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[332.11199999999997, 480.8705, 477.41099999999994, 422.05899999999997, 276.76, 172.975]
3|20000|131.202420194|58.4687673867|[3, 12, 0]|20|19776.1690423|223.830957721|39.8288066012|[0.0, 2.0962529790105262, 4.1925059580210524, 6.2887589370315791, 8.3850119160421048, 10.481264895052631, 12.577517874063156, 14.673770853073682, 16.77002383208421, 18.866276811094735, 20.962529790105261, 23.058782769115787, 25.155035748126313, 27.251288727136838, 29.347541706147364, 31.44379468515789, 33.540047664168419, 35.636300643178949, 37.732553622189478, 39.828806601200007]|[1207.3654999999999, 484.33, 470.49199999999996]
3|20000|130.897590908|59.7514213709|[9, 28, 0]|50|19855.4969021|144.503097947|39.8288066012|[0.0, 0.81283278777959189, 1.6256655755591838, 2.4384983633387756, 3.2513311511183676, 4.0641639388979591, 4.8769967266775511, 5.6898295144571431, 6.5026623022367351, 7.3154950900163271, 8.1283278777959183, 8.9411606655755094, 9.7539934533551005, 10.566826241134692, 11.379659028914283, 12.192491816693874, 13.005324604473465, 13.818157392253056, 14.630990180032647, 15.443822967812238, 16.256655755591829, 17.069488543371421, 17.882321331151012, 18.695154118930603, 19.507986906710194, 20.320819694489785, 21.133652482269376, 21.946485270048967, 22.759318057828558, 23.572150845608149, 24.384983633387741, 25.197816421167332, 26.010649208946923, 26.823481996726514, 27.636314784506105, 28.449147572285696, 29.261980360065287, 30.074813147844878, 30.887645935624469, 31.700478723404061, 32.513311511183652, 33.326144298963243, 34.138977086742834, 34.951809874522425, 35.764642662302016, 36.577475450081607, 37.390308237861198, 38.20314102564079, 39.015973813420381, 39.828806601199972]|[1207.3654999999999, 484.33, 470.49199999999996]
3|40000|86.0559489556|56.3982975976|[11, 11, 1]|20|39994.7093026|5.29069740867|39.8288066012|[0.0, 2.0962529790105262, 4.1925059580210524, 6.2887589370315791, 8.3850119160421048, 10.481264895052631, 12.577517874063156, 14.673770853073682, 16.77002383208421, 18.866276811094735, 20.962529790105261, 23.058782769115787, 25.155035748126313, 27.251288727136838, 29.347541706147364, 31.44379468515789, 33.540047664168419, 35.636300643178949, 37.732553622189478, 39.828806601200007]|[1207.3654999999999, 484.33, 470.49199999999996]
3|40000|85.6568046509|57.5836828212|[29, 29, 0]|50|39876.9015108|123.098489164|39.8288066012|[0.0, 0.81283278777959189, 1.6256655755591838, 2.4384983633387756, 3.2513311511183676, 4.0641639388979591, 4.8769967266775511, 5.6898295144571431, 6.5026623022367351, 7.3154950900163271, 8.1283278777959183, 8.9411606655755094, 9.7539934533551005, 10.566826241134692, 11.379659028914283, 12.192491816693874, 13.005324604473465, 13.818157392253056, 14.630990180032647, 15.443822967812238, 16.256655755591829, 17.069488543371421, 17.882321331151012, 18.695154118930603, 19.507986906710194, 20.320819694489785, 21.133652482269376, 21.946485270048967, 22.759318057828558, 23.572150845608149, 24.384983633387741, 25.197816421167332, 26.010649208946923, 26.823481996726514, 27.636314784506105, 28.449147572285696, 29.261980360065287, 30.074813147844878, 30.887645935624469, 31.700478723404061, 32.513311511183652, 33.326144298963243, 34.138977086742834, 34.951809874522425, 35.764642662302016, 36.577475450081607, 37.390308237861198, 38.20314102564079, 39.015973813420381, 39.828806601199972]|[1207.3654999999999, 484.33, 470.49199999999996]
3|60000|53.9732846879|57.3580813626|[13, 16, 11]|20|59995.6899475|4.31005252255|39.8288066012|[0.0, 2.0962529790105262, 4.1925059580210524, 6.2887589370315791, 8.3850119160421048, 10.481264895052631, 12.577517874063156, 14.673770853073682, 16.77002383208421, 18.866276811094735, 20.962529790105261, 23.058782769115787, 25.155035748126313, 27.251288727136838, 29.347541706147364, 31.44379468515789, 33.540047664168419, 35.636300643178949, 37.732553622189478, 39.828806601200007]|[1207.3654999999999, 484.33, 470.49199999999996]
3|60000|53.4722598608|59.793491333|[38, 36, 22]|50|59878.6221544|121.377845585|39.8288066012|[0.0, 0.81283278777959189, 1.6256655755591838, 2.4384983633387756, 3.2513311511183676, 4.0641639388979591, 4.8769967266775511, 5.6898295144571431, 6.5026623022367351, 7.3154950900163271, 8.1283278777959183, 8.9411606655755094, 9.7539934533551005, 10.566826241134692, 11.379659028914283, 12.192491816693874, 13.005324604473465, 13.818157392253056, 14.630990180032647, 15.443822967812238, 16.256655755591829, 17.069488543371421, 17.882321331151012, 18.695154118930603, 19.507986906710194, 20.320819694489785, 21.133652482269376, 21.946485270048967, 22.759318057828558, 23.572150845608149, 24.384983633387741, 25.197816421167332, 26.010649208946923, 26.823481996726514, 27.636314784506105, 28.449147572285696, 29.261980360065287, 30.074813147844878, 30.887645935624469, 31.700478723404061, 32.513311511183652, 33.326144298963243, 34.138977086742834, 34.951809874522425, 35.764642662302016, 36.577475450081607, 37.390308237861198, 38.20314102564079, 39.015973813420381, 39.828806601199972]|[1207.3654999999999, 484.33, 470.49199999999996]
3|80000|30.8890555285|57.3403715419|[18, 18, 16]|20|79612.3152718|387.684728223|39.8288066012|[0.0, 2.0962529790105262, 4.1925059580210524, 6.2887589370315791, 8.3850119160421048, 10.481264895052631, 12.577517874063156, 14.673770853073682, 16.77002383208421, 18.866276811094735, 20.962529790105261, 23.058782769115787, 25.155035748126313, 27.251288727136838, 29.347541706147364, 31.44379468515789, 33.540047664168419, 35.636300643178949, 37.732553622189478, 39.828806601200007]|[1207.3654999999999, 484.33, 470.49199999999996]
3|80000|30.5715716662|57.9537395964|[47, 47, 40]|50|79925.3347185|74.6652815383|39.8288066012|[0.0, 0.81283278777959189, 1.6256655755591838, 2.4384983633387756, 3.2513311511183676, 4.0641639388979591, 4.8769967266775511, 5.6898295144571431, 6.5026623022367351, 7.3154950900163271, 8.1283278777959183, 8.9411606655755094, 9.7539934533551005, 10.566826241134692, 11.379659028914283, 12.192491816693874, 13.005324604473465, 13.818157392253056, 14.630990180032647, 15.443822967812238, 16.256655755591829, 17.069488543371421, 17.882321331151012, 18.695154118930603, 19.507986906710194, 20.320819694489785, 21.133652482269376, 21.946485270048967, 22.759318057828558, 23.572150845608149, 24.384983633387741, 25.197816421167332, 26.010649208946923, 26.823481996726514, 27.636314784506105, 28.449147572285696, 29.261980360065287, 30.074813147844878, 30.887645935624469, 31.700478723404061, 32.513311511183652, 33.326144298963243, 34.138977086742834, 34.951809874522425, 35.764642662302016, 36.577475450081607, 37.390308237861198, 38.20314102564079, 39.015973813420381, 39.828806601199972]|[1207.3654999999999, 484.33, 470.49199999999996]
3|100000|26.0113921868|57.7552989231|[19, 19, 19]|20|86117.347773|13882.652227|39.8288066012|[0.0, 2.0962529790105262, 4.1925059580210524, 6.2887589370315791, 8.3850119160421048, 10.481264895052631, 12.577517874063156, 14.673770853073682, 16.77002383208421, 18.866276811094735, 20.962529790105261, 23.058782769115787, 25.155035748126313, 27.251288727136838, 29.347541706147364, 31.44379468515789, 33.540047664168419, 35.636300643178949, 37.732553622189478, 39.828806601200007]|[1207.3654999999999, 484.33, 470.49199999999996]
